játék;idő(ms);dátum
greenlight;349;2021-01-12 08:42:50
colormatch_hard;565;2021-01-12 08:44:16
colormatch;381;2021-01-12 08:48:24
colormatch_hard;427;2021-01-12 08:49:11
colormatch_hard;472;2021-01-12 08:50:52
colormatch;444;2021-01-12 08:51:10
colormatch_hard;654;2021-01-12 08:51:59
